nombre;email;Horas faltadas
Juan Manuel;juanmacocolo276@gmail.com;15;28;3;19;12;25
Ruben Antonio;juanmacocolo276@gmail.com;2;10;27;5;20;14
Ibrahim Abbul;juanmacocolo276@gmail.com;30;1;16;29;8;4
Sebastián Sheku;juanmacocolo276@gmail.com;9;22;11;17;26;6
Kenzo Koreteno;juanmacocolo276@gmail.com;24;7;2;13;18;30
Marcos Federico;juanmacocolo276@gmail.com;5;14;20;25;3;11
Juan Felipe;juanmacocolo276@gmail.com;17;3;29;1;23;9
Jose David;juanmacocolo276@gmail.com;12;26;8;10;15;21
Adrian Herrera;juanmacocolo276@gmail.com;28;19;4;22;7;16
Dolores Carmona;juanmacocolo276@gmail.com;6;30;13;8;27;2
